,winner,loser,wt,adv_wt
0,Paris_Saint-Germain_,Malmo_FF_,1,2
1,Real_Madrid_CF_,Shakhtar_Donetsk_,1,4
2,VfL_Wolfsburg_,CSKA_Moskva_,1,1
3,PSV_Eindhoven_,Manchester_United_FC_,1,1
4,SL_Benfica_,Astana_,1,2
5,Galatasaray_İstanbul_AŞ_,Atletico_Madrid_,1,2
6,Manchester_City_FC_,Juventus_,1,1
7,Sevilla_FC_,Borussia_Monchengladbach_,1,3
8,Bayer_04_Leverkusen_,BATE_Borisov_,1,3
9,Dinamo_Zagreb_,Arsenal_FC_,1,1
10,Olympiacos_,Bayern_München_,1,3
11,Chelsea_FC_,Maccabi_Tel_Aviv_,1,4
12,Valencia_CF_,Zenit_St._Petersburg_,1,1
13,FC_Barcelona_,Bayer_04_Leverkusen_,1,1
14,BATE_Borisov_,AS_Roma_,1,1
15,Bayern_München_,Dinamo_Zagreb_,1,5
16,Arsenal_FC_,Olympiacos_,1,1
17,FC_Porto_,Chelsea_FC_,1,1
18,Maccabi_Tel_Aviv_,Dinamo_Kiev_,1,2
19,Zenit_St._Petersburg_,KAA_Gent_,1,1
20,Olympique_Lyon_,Valencia_CF_,1,1
21,Malmo_FF_,Real_Madrid_CF_,1,2
22,Shakhtar_Donetsk_,Paris_Saint-Germain_,1,3
23,CSKA_Moskva_,PSV_Eindhoven_,1,1
24,Manchester_United_FC_,VfL_Wolfsburg_,1,1
25,Atletico_Madrid_,SL_Benfica_,1,1
26,Juventus_,Sevilla_FC_,1,2
27,Borussia_Monchengladbach_,Manchester_City_FC_,1,1
28,BATE_Borisov_,FC_Barcelona_,1,2
29,Arsenal_FC_,Bayern_München_,1,2
30,Dinamo_Zagreb_,Olympiacos_,1,1
31,FC_Porto_,Maccabi_Tel_Aviv_,1,2
32,Zenit_St._Petersburg_,Olympique_Lyon_,1,2
33,Valencia_CF_,KAA_Gent_,1,1
34,Malmo_FF_,Shakhtar_Donetsk_,1,1
35,VfL_Wolfsburg_,PSV_Eindhoven_,1,2
36,Galatasaray_İstanbul_AŞ_,SL_Benfica_,1,1
37,Atletico_Madrid_,Astana_,1,4
38,Manchester_City_FC_,Sevilla_FC_,1,1
39,Real_Madrid_CF_,Paris_Saint-Germain_,1,1
40,Shakhtar_Donetsk_,Malmo_FF_,1,4
41,Manchester_United_FC_,CSKA_Moskva_,1,1
42,PSV_Eindhoven_,VfL_Wolfsburg_,1,2
43,SL_Benfica_,Galatasaray_İstanbul_AŞ_,1,1
44,Sevilla_FC_,Manchester_City_FC_,1,2
45,FC_Barcelona_,BATE_Borisov_,1,3
46,AS_Roma_,Bayer_04_Leverkusen_,1,1
47,Bayern_München_,Arsenal_FC_,1,4
48,Olympiacos_,Dinamo_Zagreb_,1,1
49,Maccabi_Tel_Aviv_,FC_Porto_,1,2
50,Chelsea_FC_,Dinamo_Kiev_,1,1
51,KAA_Gent_,Valencia_CF_,1,1
52,Olympique_Lyon_,Zenit_St._Petersburg_,1,2
53,FC_Barcelona_,AS_Roma_,1,5
54,Arsenal_FC_,Dinamo_Zagreb_,1,3
55,Bayern_München_,Olympiacos_,1,4
56,FC_Porto_,Dinamo_Kiev_,1,2
57,Maccabi_Tel_Aviv_,Chelsea_FC_,1,4
58,Olympique_Lyon_,KAA_Gent_,1,1
59,Zenit_St._Petersburg_,Valencia_CF_,1,2
60,Malmo_FF_,Paris_Saint-Germain_,1,5
61,Shakhtar_Donetsk_,Real_Madrid_CF_,1,1
62,CSKA_Moskva_,VfL_Wolfsburg_,1,2
63,Atletico_Madrid_,Galatasaray_İstanbul_AŞ_,1,2
64,Juventus_,Manchester_City_FC_,1,1
65,Borussia_Monchengladbach_,Sevilla_FC_,1,2
66,Real_Madrid_CF_,Malmo_FF_,1,8
67,Paris_Saint-Germain_,Shakhtar_Donetsk_,1,2
68,PSV_Eindhoven_,CSKA_Moskva_,1,1
69,VfL_Wolfsburg_,Manchester_United_FC_,1,1
70,SL_Benfica_,Atletico_Madrid_,1,1
71,Sevilla_FC_,Juventus_,1,1
72,Manchester_City_FC_,Borussia_Monchengladbach_,1,2
73,Olympiacos_,Arsenal_FC_,1,3
74,Dinamo_Zagreb_,Bayern_München_,1,2
75,Dinamo_Kiev_,Maccabi_Tel_Aviv_,1,1
76,Chelsea_FC_,FC_Porto_,1,2
77,KAA_Gent_,Zenit_St._Petersburg_,1,1
78,Valencia_CF_,Olympique_Lyon_,1,2
79,Paris_Saint-Germain_,Chelsea_FC_,1,1
80,SL_Benfica_,Zenit_St._Petersburg_,1,1
81,KAA_Gent_,VfL_Wolfsburg_,1,1
82,AS_Roma_,Real_Madrid_CF_,1,2
83,Arsenal_FC_,FC_Barcelona_,1,2
84,Dinamo_Kiev_,Manchester_City_FC_,1,2
85,VfL_Wolfsburg_,KAA_Gent_,1,1
86,Real_Madrid_CF_,AS_Roma_,1,2
87,Chelsea_FC_,Paris_Saint-Germain_,1,1
88,Zenit_St._Petersburg_,SL_Benfica_,1,1
89,FC_Barcelona_,Arsenal_FC_,1,2
90,FC_Barcelona_,Atletico_Madrid_,1,1
91,Bayern_München_,SL_Benfica_,1,1
92,VfL_Wolfsburg_,Real_Madrid_CF_,1,2
93,Real_Madrid_CF_,VfL_Wolfsburg_,1,3
94,Manchester_City_FC_,Paris_Saint-Germain_,1,1
95,Atletico_Madrid_,FC_Barcelona_,1,2
96,Atletico_Madrid_,Bayern_München_,1,1
97,Bayern_München_,Atletico_Madrid_,1,1
98,Real_Madrid_CF_,Manchester_City_FC_,1,1
